version,skill,episode,success
seed3,task0,0,0
seed3,task0,1,1
seed3,task0,2,1
seed3,task0,3,0
seed3,task0,4,0
seed3,task0,5,1
seed3,task0,6,0
seed3,task0,7,0
seed3,task0,8,1
seed3,task0,9,1
seed3,task0,10,1
seed3,task0,11,0
seed3,task0,12,0
seed3,task0,13,1
seed3,task0,14,1
seed3,task0,15,1
seed3,task0,16,0
seed3,task0,17,1
seed3,task0,18,1
seed3,task0,19,1
seed3,task0,20,1
seed3,task0,21,1
seed3,task0,22,1
seed3,task0,23,1
seed3,task0,24,1
seed3,task0,25,1
seed3,task0,26,0
seed3,task0,27,0
seed3,task0,28,1
seed3,task0,29,1
seed3,task0,30,1
seed3,task0,31,1
seed3,task0,32,1
seed3,task0,33,1
seed3,task0,34,1
seed3,task0,35,1
seed3,task0,36,1
seed3,task0,37,0
seed3,task0,38,1
seed3,task0,39,1
seed3,task0,40,1
seed3,task0,41,1
seed3,task0,42,1
seed3,task0,43,0
seed3,task0,44,0
seed3,task0,45,1
seed3,task0,46,1
seed3,task0,47,1
seed3,task0,48,1
seed3,task0,49,1
seed3,task0,50,0
seed3,task0,51,0
seed3,task0,52,1
seed3,task0,53,1
seed3,task0,54,1
seed3,task0,55,1
seed3,task0,56,1
seed3,task0,57,0
seed3,task0,58,1
seed3,task0,59,1
seed3,task0,60,1
seed3,task0,61,0
seed3,task0,62,0
seed3,task0,63,1
seed3,task0,64,1
seed3,task0,65,1
seed3,task0,66,1
seed3,task0,67,0
seed3,task0,68,0
seed3,task0,69,1
seed3,task0,70,1
seed3,task0,71,1
seed3,task0,72,1
seed3,task0,73,0
seed3,task0,74,1
seed3,task0,75,1
seed3,task0,76,1
seed3,task0,77,1
seed3,task0,78,1
seed3,task0,79,1
seed3,task0,80,1
seed3,task0,81,0
seed3,task0,82,1
seed3,task0,83,1
seed3,task0,84,1
seed3,task0,85,1
seed3,task0,86,0
seed3,task0,87,1
seed3,task0,88,1
seed3,task0,89,1
seed3,task0,90,0
seed3,task0,91,1
seed3,task0,92,1
seed3,task0,93,1
seed3,task0,94,1
seed3,task0,95,1
seed3,task0,96,1
seed3,task0,97,1
seed3,task0,98,1
seed3,task0,99,1
seed3,task1,0,0
seed3,task1,1,1
seed3,task1,2,1
seed3,task1,3,0
seed3,task1,4,0
seed3,task1,5,0
seed3,task1,6,0
seed3,task1,7,0
seed3,task1,8,0
seed3,task1,9,0
seed3,task1,10,0
seed3,task1,11,0
seed3,task1,12,0
seed3,task1,13,1
seed3,task1,14,1
seed3,task1,15,0
seed3,task1,16,0
seed3,task1,17,1
seed3,task1,18,0
seed3,task1,19,1
seed3,task1,20,1
seed3,task1,21,0
seed3,task1,22,0
seed3,task1,23,1
seed3,task1,24,1
seed3,task1,25,1
seed3,task1,26,0
seed3,task1,27,0
seed3,task1,28,0
seed3,task1,29,0
seed3,task1,30,0
seed3,task1,31,1
seed3,task1,32,0
seed3,task1,33,1
seed3,task1,34,1
seed3,task1,35,0
seed3,task1,36,1
seed3,task1,37,0
seed3,task1,38,0
seed3,task1,39,0
seed3,task1,40,0
seed3,task1,41,0
seed3,task1,42,0
seed3,task1,43,1
seed3,task1,44,1
seed3,task1,45,0
seed3,task1,46,0
seed3,task1,47,1
seed3,task1,48,0
seed3,task1,49,1
seed3,task1,50,0
seed3,task1,51,0
seed3,task1,52,0
seed3,task1,53,1
seed3,task1,54,1
seed3,task1,55,1
seed3,task1,56,0
seed3,task1,57,0
seed3,task1,58,0
seed3,task1,59,0
seed3,task1,60,0
seed3,task1,61,1
seed3,task1,62,0
seed3,task1,63,1
seed3,task1,64,1
seed3,task1,65,0
seed3,task1,66,1
seed3,task1,67,0
seed3,task1,68,0
seed3,task1,69,0
seed3,task1,70,0
seed3,task1,71,0
seed3,task1,72,0
seed3,task1,73,1
seed3,task1,74,1
seed3,task1,75,0
seed3,task1,76,0
seed3,task1,77,1
seed3,task1,78,0
seed3,task1,79,1
seed3,task1,80,0
seed3,task1,81,0
seed3,task1,82,0
seed3,task1,83,1
seed3,task1,84,1
seed3,task1,85,1
seed3,task1,86,0
seed3,task1,87,0
seed3,task1,88,0
seed3,task1,89,0
seed3,task1,90,0
seed3,task1,91,1
seed3,task1,92,1
seed3,task1,93,1
seed3,task1,94,1
seed3,task1,95,0
seed3,task1,96,1
seed3,task1,97,0
seed3,task1,98,0
seed3,task1,99,0
seed3,task2,0,1
seed3,task2,1,1
seed3,task2,2,1
seed3,task2,3,1
seed3,task2,4,1
seed3,task2,5,1
seed3,task2,6,1
seed3,task2,7,1
seed3,task2,8,1
seed3,task2,9,1
seed3,task2,10,1
seed3,task2,11,1
seed3,task2,12,1
seed3,task2,13,1
seed3,task2,14,1
seed3,task2,15,1
seed3,task2,16,1
seed3,task2,17,1
seed3,task2,18,1
seed3,task2,19,1
seed3,task2,20,1
seed3,task2,21,1
seed3,task2,22,1
seed3,task2,23,1
seed3,task2,24,1
seed3,task2,25,1
seed3,task2,26,1
seed3,task2,27,1
seed3,task2,28,1
seed3,task2,29,1
seed3,task2,30,1
seed3,task2,31,1
seed3,task2,32,1
seed3,task2,33,1
seed3,task2,34,1
seed3,task2,35,1
seed3,task2,36,0
seed3,task2,37,1
seed3,task2,38,0
seed3,task2,39,1
seed3,task2,40,1
seed3,task2,41,1
seed3,task2,42,1
seed3,task2,43,1
seed3,task2,44,1
seed3,task2,45,1
seed3,task2,46,1
seed3,task2,47,1
seed3,task2,48,1
seed3,task2,49,1
seed3,task2,50,1
seed3,task2,51,1
seed3,task2,52,1
seed3,task2,53,1
seed3,task2,54,1
seed3,task2,55,1
seed3,task2,56,1
seed3,task2,57,1
seed3,task2,58,1
seed3,task2,59,1
seed3,task2,60,1
seed3,task2,61,1
seed3,task2,62,0
seed3,task2,63,1
seed3,task2,64,1
seed3,task2,65,1
seed3,task2,66,1
seed3,task2,67,1
seed3,task2,68,1
seed3,task2,69,1
seed3,task2,70,1
seed3,task2,71,1
seed3,task2,72,1
seed3,task2,73,1
seed3,task2,74,1
seed3,task2,75,1
seed3,task2,76,0
seed3,task2,77,1
seed3,task2,78,0
seed3,task2,79,1
seed3,task2,80,1
seed3,task2,81,1
seed3,task2,82,1
seed3,task2,83,1
seed3,task2,84,1
seed3,task2,85,1
seed3,task2,86,1
seed3,task2,87,1
seed3,task2,88,1
seed3,task2,89,1
seed3,task2,90,1
seed3,task2,91,1
seed3,task2,92,1
seed3,task2,93,1
seed3,task2,94,1
seed3,task2,95,1
seed3,task2,96,1
seed3,task2,97,1
seed3,task2,98,1
seed3,task2,99,1
seed3,task3,0,1
seed3,task3,1,0
seed3,task3,2,1
seed3,task3,3,0
seed3,task3,4,0
seed3,task3,5,1
seed3,task3,6,0
seed3,task3,7,1
seed3,task3,8,1
seed3,task3,9,0
seed3,task3,10,1
seed3,task3,11,0
seed3,task3,12,1
seed3,task3,13,1
seed3,task3,14,1
seed3,task3,15,0
seed3,task3,16,1
seed3,task3,17,1
seed3,task3,18,0
seed3,task3,19,0
seed3,task3,20,0
seed3,task3,21,0
seed3,task3,22,0
seed3,task3,23,0
seed3,task3,24,0
seed3,task3,25,1
seed3,task3,26,1
seed3,task3,27,0
seed3,task3,28,0
seed3,task3,29,0
seed3,task3,30,1
seed3,task3,31,0
seed3,task3,32,1
seed3,task3,33,0
seed3,task3,34,0
seed3,task3,35,1
seed3,task3,36,1
seed3,task3,37,0
seed3,task3,38,0
seed3,task3,39,1
seed3,task3,40,1
seed3,task3,41,1
seed3,task3,42,1
seed3,task3,43,1
seed3,task3,44,1
seed3,task3,45,1
seed3,task3,46,0
seed3,task3,47,1
seed3,task3,48,1
seed3,task3,49,0
seed3,task3,50,1
seed3,task3,51,0
seed3,task3,52,1
seed3,task3,53,0
seed3,task3,54,0
seed3,task3,55,0
seed3,task3,56,1
seed3,task3,57,0
seed3,task3,58,0
seed3,task3,59,0
seed3,task3,60,0
seed3,task3,61,0
seed3,task3,62,0
seed3,task3,63,0
seed3,task3,64,0
seed3,task3,65,1
seed3,task3,66,1
seed3,task3,67,0
seed3,task3,68,1
seed3,task3,69,1
seed3,task3,70,1
seed3,task3,71,1
seed3,task3,72,0
seed3,task3,73,1
seed3,task3,74,1
seed3,task3,75,1
seed3,task3,76,1
seed3,task3,77,1
seed3,task3,78,1
seed3,task3,79,0
seed3,task3,80,1
seed3,task3,81,0
seed3,task3,82,1
seed3,task3,83,0
seed3,task3,84,0
seed3,task3,85,1
seed3,task3,86,0
seed3,task3,87,0
seed3,task3,88,1
seed3,task3,89,0
seed3,task3,90,1
seed3,task3,91,0
seed3,task3,92,0
seed3,task3,93,0
seed3,task3,94,0
seed3,task3,95,1
seed3,task3,96,1
seed3,task3,97,1
seed3,task3,98,0
seed3,task3,99,1
seed3,task4,0,1
seed3,task4,1,1
seed3,task4,2,1
